t,market_id,market_name,district_name,variety,p_min,p_max,p_modal,clean_market,match_score,latitude,longitude,t2m_mean,t2m_max,t2m_min,d2m_mean,precip_sum_mm,wind_speed_mean
2020-12-26,1584,Dhariwal,Gurdaspur,Other,2200.0,2400.0,2350,DHARIWAL,100.0,31.5497,75.2406,11.281723022460938,15.925079345703125,4.713531494140625,8.043190002441406,0.02651810459792614,1.244673252105713
2020-12-26,248,Dhuri,Sangrur,Other,1800.0,2000.0,1900,DHURI,100.0,30.37,75.87,12.600082397460938,16.348907470703125,7.287750244140625,8.321510314941406,0.0023186199832707644,1.5090020895004272
2020-12-26,1582,Dinanagar,Gurdaspur,Other,2200.0,2400.0,2300,DINANAGAR,100.0,32.1347,75.4567,11.085433959960938,15.696563720703125,6.793609619140625,8.024147033691406,0.007981061935424805,1.2731804847717285
2020-12-26,1595,Doraha,Ludhiana,Other,1800.0,2500.0,2022,DORAHA,100.0,30.4802,76.0226,12.219711303710938,16.069610595703125,7.277984619140625,8.349830627441406,0.002288817660883069,1.482262134552002
2020-12-26,632,Faridkot,Faridkot,Onion,1200.0,1500.0,1300,FARIDKOT,100.0,30.6844,74.7555,12.526351928710938,17.565704345703125,5.567047119140625,7.285865783691406,0.004687904845923185,1.4294191598892212
2020-12-26,229,Fazilka,Firozpur,Other,1500.0,2000.0,1800,FAZILKA,100.0,30.4036,74.0341,13.533676147460938,18.477813720703125,8.578765869140625,7.802955627441406,0.001722573535516858,0.9621409177780151
2020-12-26,231,Ferozepur Cantt.,Firozpur,Onion,2300.0,2400.0,2350,FEROZEPUR CANTT,100.0,30.9277,74.5968,12.505844116210938,17.528594970703125,5.295562744140625,7.569557189941406,0.008413194678723812,1.209920883178711
2020-12-26,634,Firozepur City,Firozpur,Other,1800.0,2100.0,1950,FIROZEPUR CITY,92.85714285714286,30.9643,74.6262,12.224105834960938,17.456329345703125,5.172515869140625,7.471412658691406,0.01058876421302557,1.2198479175567627
2020-12-26,643,Giddarbaha,Muktsar,Onion,2000.0,2400.0,2200,GIDDARBAHA,90.0,30.2033,74.6611,13.120101928710938,18.456329345703125,7.076812744140625,7.374732971191406,0.001722573535516858,1.3458260297775269
2020-12-26,626,Gurdaspur,Gurdaspur,Other,1200.0,1500.0,1300,GURDASPUR,100.0,32.05,75.4326,10.997055053710938,15.796173095703125,6.494781494140625,7.818092346191406,0.009337066672742367,1.3308866024017334
2020-12-26,235,Guru Har Sahai,Firozpur,Onion,1800.0,2000.0,1800,GURU HAR SAHAI,92.3076923076923,30.7128,74.3932,13.042465209960938,17.977813720703125,5.707672119140625,7.551490783691406,0.002244114177301526,1.172201156616211
2020-12-26,636,Hoshiarpur,Hoshiarpur,Other,2500.0,3000.0,2700,HOSHIARPUR,95.23809523809524,31.5143,75.8951,10.750473022460938,15.632110595703125,4.930328369140625,7.553932189941406,0.015074014663696289,1.2936866283416748
